Sols;Na2O;MgO;Al2O3;SiO2;P2O5;SO3;Cl;K2O;CaO;TiO2;Cr2O3;MnO;FeO;Ni;Zn;Br;Amorphous;Pyroxene;Sulfate;Magnetite;Hematite;Feldspar;Plagioclase;Clay;Rank;Latitude;Longitude
322;2.8;9.05;8.29;41.9;0.65;5.78;1.13;0.42;6.88;0.76;0.76;0.4;21;224;928;393;35.07;22.17;2.3;7.58;0;0.68;20.69;11.52;63;-4.590506732;137.4488133
322;2.86;8.7;8.44;42.16;0.74;5.82;1.12;0.46;7.03;0.75;0.76;0.38;20.58;235;983;408;37.26;21.99;1.97;7.74;0;0.62;21.02;9.41;64;-4.590506732;137.4488133
323;3.23;7.69;9.63;44.49;0.77;5.1;0.83;1.18;6.52;0.92;0.6;0.37;18.51;285;821;43;37.1;21.65;1.97;8.06;0;0.33;22.32;8.57;65;-4.590506732;137.4488133
323;2.98;8.26;8.75;42.03;0.8;6.05;1.15;0.78;6.54;0.85;0.65;0.36;20.63;276;963;167;36.58;21.4;1.97;7.79;0;0.09;24.86;7.31;66;-4.590506732;137.4488133
360;4.84;4.66;13.76;49.41;0.73;3.9;0.65;1.67;7.23;0.76;0.06;0.27;11.96;69;300;15;36.74;21.27;1.97;7.79;0;0.04;26.42;5.77;67;-4.597513937;137.4369239
373;3.21;7.27;10.88;45.41;0.96;6.89;0.99;0.84;7.2;1.03;0.25;0.31;14.62;340;383;48;36.4;21.27;1.97;8.12;0;0;26.83;5.41;68;-4.600517243;137.430491
387;4.12;4.41;11.61;53.09;1.45;4.46;0.85;0.92;7.19;1.35;0.09;0.22;10.16;36;84;35;35.87;21.21;2.12;7.79;0;0;27.24;5.77;69;-4.606004862;137.4272721
394;4.24;3.19;14.39;49.32;0.6;4.48;1.46;0.58;5.53;0.53;0;0.13;15.31;79;246;139;35.14;21.03;2.12;7.58;0;0;27.38;6.76;70;-4.60711483;137.426291
395;3.96;3.67;13.59;46.89;0.69;5.68;1.75;0.57;5.44;0.7;0.03;0.13;16.82;67;205;172;35.47;20.7;2.12;7.58;0;0;27.38;6.76;71;-4.60711483;137.426291
399;3.07;7.76;10.25;45.19;0.99;7.98;1.13;0.81;6.97;0.85;0.22;0.24;14.4;215;625;51;35.47;20.7;2.12;7.58;0;0;27.38;6.76;72;-4.607216948;137.4262747
399;3.87;6.14;12.29;46.18;0.86;6.08;0.98;1.08;6.78;0.86;0.16;0.4;14.15;94;731;57;35.59;20.7;2;7.58;0;0;27.38;6.76;73;-4.607216948;137.4262747
399;3.45;6.67;11.37;46.28;1.01;7.12;0.99;1.14;6.77;0.88;0.13;0.23;13.8;156;801;44;36.07;20.21;2;7.58;0;0;27.38;6.76;74;-4.607216948;137.4262747
399;3.31;7.17;10.84;45.81;0.93;7.78;0.97;0.97;7.46;0.94;0.19;0.27;13.2;214;782;10;36.33;19.83;2;7.58;0.13;0;27.38;6.76;75;-4.607216948;137.4262747
399;3.89;5.64;13.64;47.53;0.88;6.62;1.34;0.85;6.53;0.71;0.09;0.17;11.93;102;621;114;36.38;19.83;2.12;7.4;0.13;0;27.38;6.76;76;-4.607216948;137.4262747
400;3.43;6.33;12.04;46.29;0.83;6.54;1.49;0.65;6.09;0.8;0.07;0.24;14.96;123;749;166;36.6;19.83;2.03;7.4;0;0;27.38;6.76;77;-4.607216948;137.4262747
400;3.19;6.85;11.03;45.78;0.92;7.07;1.36;0.76;6.43;0.8;0.12;0.23;15.22;154;759;167;36.37;19.83;2.12;6.86;0;0;27.24;7.58;78;-4.607216948;137.4262747
400;3.15;7.21;10.95;44.99;0.99;7.35;1.18;0.73;7.07;0.87;0.19;0.27;14.86;214;688;144;36.23;19.83;2.12;6.86;0;0;27.38;7.58;79;-4.607216948;137.4262747
441;2.48;8.35;8.47;41.68;0.98;7.04;1.1;1.04;6.42;1.07;0.52;0.35;20.3;423;1098;182;36.03;19.83;2.12;6.86;0;0;27.58;7.58;80;-4.622334258;137.4150005
442;2.45;8.37;8.34;43.07;0.77;5.74;1.24;2.52;5.72;0.86;0.48;0.41;19.81;282;1208;110;36.12;19.83;2.03;6.86;0;0;27.58;7.58;81;-4.622334258;137.4150005
472;2.7;8.71;7.98;43.01;0.75;3.29;0.95;1.96;6.13;0.89;0.54;0.5;22.35;360;1214;176;35.63;20.36;1.99;6.86;0;0;27.58;7.58;82;-4.624250708;137.4110607
485;2.61;8.36;8.66;42.15;0.94;6.43;0.94;1.37;6.22;1.01;0.41;0.4;20.28;374;1176;38;35.34;21.03;1.9;7.45;0.13;0;27.74;6.41;83;-4.624956996;137.4104368
485;2.63;8.16;8.57;41.79;0.94;6.53;0.95;1.24;6.32;1.01;0.51;0.43;20.72;386;1102;35;36.05;20.36;1.9;7.45;0.09;0;27.74;6.41;84;-4.624956996;137.4104368
487;2.9;9.08;8.78;41.93;0.99;5.05;1.24;0.7;6.62;0.92;0.38;0.31;20.86;685;900;59;35.89;20.36;1.9;7.45;0.24;0;27.74;6.41;85;-4.624956996;137.4104368
487;3.19;9.41;8.69;41.64;0.89;4.67;1.26;0.62;6.35;1.1;0.45;0.33;21.18;845;872;71;36.35;19.78;1.9;7.78;0.31;0;27.63;6.24;86;-4.624956996;137.4104368
487;3.01;9.32;8.63;41.13;0.86;4.61;1.19;0.62;6.66;0.99;0.46;0.29;21.95;932;921;66;36.57;20.62;1.99;6.86;0.24;0.12;26.03;7.58;87;-4.624956996;137.4104368
503;3.98;5.32;12;49.91;0.89;5.13;1.02;3.44;6.48;0.58;0.1;0.26;10.75;129;790;42;36.66;20.62;1.9;6.86;0.24;0.12;26.03;7.58;88;-4.625259182;137.4102843
503;6.78;3.41;15.37;49.93;0.93;2.32;1.11;2.94;5.76;0.72;0.05;0.26;10.27;41;924;82;35.28;20.93;1.9;6.84;0.09;0.12;23.76;11.08;89;-4.625259182;137.4102843
506;5.06;4.24;14.97;50.85;0.69;4.23;0.7;1.21;6.16;0.56;0.07;0.15;10.92;102;335;18;33.74;21.44;1.93;6.31;0.09;0.12;22.81;13.57;90;-4.62527472;137.4099225
510;5.42;3.08;16.22;51.22;0.62;2.13;0.89;2.23;5.71;0.54;0.07;0.19;11.48;97;617;33;33.74;21.44;1.93;6.31;0.09;0.12;22.81;13.57;91;-4.625698628;137.4095748
510;5.01;3.69;15.18;49.34;0.78;3.27;0.88;1.89;6.15;1.19;0.04;0.29;12.19;131;254;51;34.09;20.93;1.93;6.31;0.24;0.12;22.81;13.57;92;-4.625698628;137.4095748
512;5.19;3.41;16.8;53.98;0.61;4.43;0.69;1.36;7.16;0.35;0.06;0.12;5.73;43;215;5;38.38;20.93;1.66;8.02;0.43;0;23.76;6.82;93;-4.626120815;137.409568
512;4.81;3.66;15.28;51.94;0.64;3.56;0.66;2.48;5.46;0.71;0.04;0.18;10.47;48;473;11;38.07;21.07;1.66;8.02;0.36;0;24.03;6.79;94;-4.626120815;137.409568
