Rank,Days_on_Mars,SiO2,FeO,Al2O3,SO3,CaO,MgO,Na2O,TiO2,P2O5,K2O,Cl,Cr2O3,MnO
124,627,33.38,21.58,4.05,4.35,4.25,18.3,1.01,0.91,0.7,2.49,3.36,0.34,4.05
125,629,34.06,21.21,4.5,4.67,4.2,17.79,1.02,0.77,0.76,2.31,3.26,0.35,3.88
126,629,34.43,21.48,4.2,4.46,4.32,17.9,1.04,0.9,0.65,2.53,3.44,0.36,3.34
127,629,33.69,20.64,4.31,4.44,4.2,18.29,1.12,0.91,0.69,2.43,3.19,0.28,4.87
128,629,34.64,20.96,4.91,4.85,4.43,17.26,1.32,0.94,0.74,2.33,3.12,0.3,3.41
129,633,43.16,20.52,8.65,4.05,5.77,9.45,2.08,0.91,0.64,2.41,1.54,0.47,0.25
130,633,42.91,20.43,8.7,4.04,5.85,9.44,2.14,0.91,0.73,2.43,1.54,0.51,0.22
131,649,45.36,15.6,11.5,7.08,5.52,6.05,3.38,0.83,0.83,1.96,1.33,0.09,0.34
132,673,43.05,20.09,9.41,5.12,7.17,8.27,2.78,1.1,0.85,0.45,0.64,0.5,0.44
133,687,46.93,9.12,13.36,5.93,9.84,5.05,3.71,0.42,3.2,0.61,1.41,0.08,0.2
134,694,43.39,19.93,9.32,4.57,6.92,8.19,3.3,0.8,0.73,0.84,0.72,0.73,0.45
135,696,59.29,7.3,10.88,5.7,3.78,3.26,4.15,1.18,0.98,2.23,0.81,0.24,0.08
136,704,37.38,27.9,5.62,3.57,5.26,12.29,0.96,1.07,0.64,3.09,0.57,0.49,0.55
137,706,47.32,16.93,12,2.15,5.23,6.37,4.97,0.66,0.7,2.16,0.71,0.21,0.25
138,707,46.83,16.38,11.37,2.81,5.99,6.96,4.72,0.76,0.76,1.94,0.75,0.3,0.3
139,722,60.69,13.5,8.14,3.65,4.44,2.44,2.51,1.17,1.81,0.55,0.54,0.26,0.19
140,722,53.84,13.67,8.38,6.32,5.87,4.36,2.61,1.2,1.72,0.57,0.7,0.35,0.23
141,722,59.76,13.63,7.81,3.88,4.54,2.73,2.68,1.16,2.1,0.52,0.56,0.32,0.18
142,742,41.35,20.7,8.41,7.01,6.33,8.42,2.87,0.96,0.85,0.74,1.4,0.38,0.41
143,755,51.88,16.93,10.43,5.17,3.77,4.5,2.92,1.07,1.08,0.86,0.37,0.34,0.31
144,758,44.8,15.92,9.06,11.27,4.24,7.6,2.41,1,1.01,0.71,0.67,0.33,0.3
